序号,平台,作者,链接,标题,发布时间,版块,点赞数,Text,Images,Video URL,Images count,Video count
268,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/67246cfb000000003c019a29?xsec_token=ABWm4nTYOMYLHFSE6F7WOa_Gu6YDgs-M6YCWjIM6hnbF0=&xsec_source=pc_user,�️上海纽约大学食堂大揭秘�,45597,视频,81,��✨,,blob:https://www.xiaohongshu.com/42af8a39-b2d2-4a00-a04e-cb81f85656a3,0,1
269,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/6711d9d1000000001b02f233?xsec_token=ABx6Xu2EDRQmtNdXLZtL_Pz9lIItx-Yre5Bqq9Czcp1rw=&xsec_source=pc_user,Campus Tour｜一起探索前滩校园吧～�,45582,视频,59,"在结束了纽约暑期的学习阶段之后，终于在九月迎来了秋季学期！�
不同的文化背景和校园设施为学生们带来了全新的体验
�那么就跟着镜头，一起参观一下上海纽约大学吧～",,blob:https://www.xiaohongshu.com/40881bc0-f123-4f3a-a45c-5235ab3d68b5,0,1
270,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/670895f4000000002a0366ef?xsec_token=ABkPTY_NkRxrUCSSt5-ZdiQwfdkK_utzRcmIC6yn8vsuQ=&xsec_source=pc_user,快闪｜纽约⇌上海,编辑于 10-10,视频,34,"✨NYU Shanghai - NYU Stern商科硕士项目的同学们经历了从NYU Stern到NYU Shanghai的精彩过渡�

�经过了纽约校区三个月的学习之后，同学们将在上海纽约大学完成他们接下来的学习之旅�

�短短的15s的卡点快闪实际攒了三个多月的时间才最终拍摄剪辑完成。回顾一下，有Stern熟悉的大门，上课的教室和学校附近标志的Washington Square，也有在码头和Yankee Stadium的休闲时光。

�从纽约到上海，是文化碰撞与融合。继续追梦，感受不同文化的启发。希望同学们在上海的后续学期也可以收获更多校内和校外的快乐时光。",,blob:https://www.xiaohongshu.com/210302f4-ccd2-4b24-bb37-18747f982584,0,1
271,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/66f9f6b3000000002c029b23?xsec_token=ABQ7V-fqFaIxHQg8OsilLWV143LrPRO3pBk4iY-LBCMhQ=&xsec_source=pc_user,纽约大学16刀自助食堂吃什么�️,45564,视频,42,Downstein是离Stern商学院最近的食堂，让我们跟着商科硕士同学了解一下学校16刀自助食堂都有些什么美食吧～,,blob:https://www.xiaohongshu.com/5063bc79-32fb-4452-b22b-96f657bb1ccd,0,1
274,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/66c7f328000000001f03d6ae?xsec_token=ABj1_Ljn-i-aRxHJnu6qyGDeG2ihCyvxbIWLSpP8n0BLo=&xsec_source=pc_user,�从Jersey到 NYU Stern 我的上学通勤路,编辑于 08-22,视频,57,"�今天来跟大家分享我的校外住宿日常上学通勤之旅。从Jersey city 出发，一路奔向 NYU Stern，开启元气满满的一天。�
�每天的通勤之路，有匆忙，有期待。从环境优美的Jersey City出发，仿佛带着满满的能量去征服在NYU Stern的每一天",,blob:https://www.xiaohongshu.com/f3f2398e-82c9-4176-a7e0-42468581b78c,0,1
276,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/66a30c7d000000000a007861?xsec_token=ABKRvZMmslIuU06itfdKyPSzjdcfXOf1H1a_SoZw7GeTA=&xsec_source=pc_user,NYU Dormitory | 纽约大学宿舍巡礼�,45498,视频,193,"当我们第一次来到NYU的校园时，
第一个家便是我们的宿舍啦！
宿舍不仅是学习的地方，更是大家在这里找到归属感的起点�
这次我们住的宿舍名叫Palladium Hall～
不妨跟着我们的镜头，一起来探索一下纽约大学的宿舍长什么样叭�",,blob:https://www.xiaohongshu.com/3a022f81-b1bd-4ce4-93c5-dbbc00f6360f,0,1
278,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/667e38b5000000001d01582a?xsec_token=ABD6uLn2Zuj7IMAM5Mc3jwQxxfQZwFeXJ-c8LiihO3GSA=&xsec_source=pc_user,NYUStern Campus Tour 云逛全美顶级商学院,编辑于 06-28,视频,62,"NYU Stern -NYU Shanghai商科硕士项目已经开始一个月啦！

同学们会在Stern渡过为期三个月夏季学期�。

本期视频由MS in Marketing and Retail Science的Sihan，以及来自MS in Organization Management and Strategy的Kevin和Rita制作和拍摄�。

让我们一起跟着镜头探索位于黄金地段的全美顶级商学院吧",,blob:https://www.xiaohongshu.com/c1404bce-7fb8-4143-ba0e-54da86e270d3,0,1
280,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/66592d73000000001500a933?xsec_token=ABKLn4ft_ij8glOEDKW3lJju2pvOr-LH2t1UXB2ZUaTWk=&xsec_source=pc_user,�是谁毕业典礼这么快落！#VioletPride�,45442,视频,43,"有一天 就是今天 今天就是有一天！�
2024届NYU Shanghai-NYU Stern商科硕士的同学们在上周末5月26日正式毕业啦！�
让我们看看可爱的GA Ash",,blob:https://www.xiaohongshu.com/fca7e808-b538-4cac-ac18-09b1aa708db0,0,1
282,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/663d925f000000001e0265d9?xsec_token=ABWC532TGuOV6TJawT4AXyJ6U961nI4DDW9Nv5rGNV_9o=&xsec_source=pc_user,毕业季分享��,编辑于 05-10,视频,28,又是一年毕业季，快来看看我们商科硕士项目的学长学姐给出的建议和分享吧！,,blob:https://www.xiaohongshu.com/1bbf6783-5f0f-4a63-a201-758deb3135c6,0,1
283,小红书,NYUSH-NYUStern商科硕士,https://www.xiaohongshu.com/explore//user/profile/630ec650000000001200f285/662248b30000000003023c70?xsec_token=ABSfiUzZBn74HwnvOX25nMPyBQcgAoQv4sx2aHUum3TSo=&xsec_source=pc_user,一年一度《专业团队》合照时间到�,45401,视频,27,"CO'24 Graduate Ambassador Team大合照幕后花絮来咯!
看全员实名演绎认真摆pose到1秒下班的全过程�
团队大合照这也是我们每届GA毕业前的保留环节啦~
感谢全体成员在过去一年中通过新媒体线上内容和招生线下活动
为不少对项目感兴趣的同学和家长们提供了更多了解项目的学生视角�",,blob:https://www.xiaohongshu.com/93f8e9a3-f823-4e6a-91a5-f42102db0864,0,1
